Se��o;Localiza��o ou subse��o;N� arq.;N�mero de Ordem;N�mero da photo;N�mero de pe�as;Descrip��o;Altura (m);Largura (m);Profundidade (m);Proveniencia;Valor individual, como consta grafado (de cada pe�a);Valor global, como consta grafado;Estado de Conserva��o;Observa��es;Data da informa��o
 Geral ;Sal�o Nabuco ;7761;88 - 93;em branco;6;Poltronas, semelhantes ao n� 79. A tape�aria foi comprada em 1907 e o madeiramento refeito em 1927.;;;;Casa Hartmann - Paris  ;10:000$000 ;60:000$000;Usado;em branco;19/12/1932
 Geral ;Sal�o Nabuco;7761;94;00002;1;Dunkerque de p�o rosa guarnecido de bronze dourado, estylo Luiz XVI, com 2 portas e 1 prateleira. Mede 1,m. 75 x 1,m.25 x 0,m.60. ;1,75;1,25;0,6;Fran�a ;3:000$000;;Usado;Restaurado varias vezes. Pertenceu a Marqueza Itamaraty e foi comprado com o palacio em 23 de  Dezembro de 1889;19/12/1932
 Geral ;Sal�o Nabuco ;7761;95;00141;1;"Relogio de alabastro com 1 estatua de bronze dourado, com 3 figuras ""bacchantes"", estylo Luiz XVI. Mede 0,m.97 de altura e 0,m.55.";0,97;0,55;;Fran�a ;3:000$000;;Bom;em branco ;19/12/1932
 Geral ;Sal�o Nabuco ;7761;96 - 97;00141;2;Candelabros, pertnecentes ao n� 95, do mesmo estylo e material. Tem 7 mangas de crystal, cada uma.;1,69;1,05;0,72;Fran�a ;3:000$000;;Bom;em branco;19/12/1932
 Geral ;Sal�o Nabuco ;7761;98;em branco;1;Mesa de cedro e p�o rosa, com embutidos e ornamentada com bronze com 4 p�s e 2 gavetes. Estylo Luiz XV. Fabricada em 1850. M�de 1,m.69 x 1,m.05 x 0,m.72.;;;;Fran�a ;5:000$000;;Bom;"Restaurada e, 1929.""Mesa dos Tratados"" ";19/12/1932
 Geral ;Sal�o Nabuco;7761;99;00018;1;Consolo de madeira branoa dourada. Jardineira de zinco. Candelabro de bronze dourado, com 1 figura, 5 mangas de crystal. M�de 0,m.87. ;0,87;;;Fran�a ;3:000$000;;Bom;Comprado com o Palacio Itamaraty.;19/12/1932
 Geral ;Sal�o Nabuco ;7762;100;00022;1;"Tape�aria flamenga ""Verdure"" s�culo 17. com 2,m.68 x 3,m.55.";2,68;3,m.55;;Fran�a ;38:000$000;;Bom;Restaurada ;19/12/1932
 Geral ;Sal�o Nabuco;7762;101;00095;1;"Pintura a oleo em madeira ""Marinha-Veneza"" de Ziem, em moldura dourada. Estylo Luis XV.";;;;;18:000$000;;Bom;Moldura restaurada. Pertenceu ao B. do B.do R.Branco ;19/12/1932
 Geral ;Sal�o Nabuco ;7762;102;00105;1;"Pintura a oleo em t�la ""Dans les Ruins"" de Camlillo Lantara em moldura de madeira dourada  ";;;;;8:000$000;;Bom ;Restaurada ;19/12/1932
 Geral ;Sal�o Nabuco ;7762;103;00084;1;"Pintura a oleo , em madeira, ""Soleil Couhant"" em moldura de madeira dourada. (Claude Lorrein).";;;;;10:000$000;;Bom ;Moldura m�. Pintura restaurada ;19/12/1932
 Geral ;Sal�o Nabuco;7762;104;177;1;Busto de bronze de T.Joaquim  Nabuco;em branco ;;;Funda��o Cavina;2:000$000;;Bom ;em branco ;19/12/1932
 Geral ;Sal�o Nabuco;7762;105;145;1;Pedestal de imbuis lustrada, com 1,m.22 de altura ;em branco ;;;Rio de Janeiro;250$000;;Bom ;em branco ;19/12/1932
 Geral ;Terra�o do Sal�o Nabuco;7764;106 - 108;em branco;ileg�vel;ileg�vel ;0,91;;;Lisboa;1:000$000 ;3:000$000;Bom;em branco;19/12/1932
 Geral ;Sala Dom Pedro II;7765;109;em branco;1;Tapete vermelho oriental, com barra vermelha e verde. M�de Vm x 3,m.47.;;3,47;;;12:000$000;;Usado ;em branco ;19/12/1932
 Geral ;Sala Dom Pedro II;7765;110 - 117;00042;8;V�os de cortinas, de damasco vermelho, com duas pernas e 1 band�, e 2 bra�adeiras de seda com borlas. Estylo s�culo XVIII.;;;;Casa Hartmann - Paris . ;3:000$000 ;24:000$000;Usado ;Comprados em 1927;19/12/1932
 Geral ;Sala Dom Pedro II;7765;118 - 131;00050;14;Bra�adeiras de bronze dourado. Estylo Luiz XVI. Marca J.D. 192.;em branco ;;;Fran�a ;150$000 ;2:100$000;Bom;em branco;19/12/1932
 Geral ;Sala Dom Pedro II;7765;132 - 139;00042;8;Sanefas de cedro dourado. Estylo Imperio.;em branco ;;;Rio;400$000 ;3:200$000;Usadas ;em branco;19/12/1932
 Geral ;Sala Dom Pedro II;7765;140;em branco;1;Lustre de prata, copia de original portuguez, Do s�culo XVII, com 8 lampadas e corrente.;;;;;5:000$000;;em branco;em branco;19/12/1932
 Geral ;Sala Dom Pedro II;7765;141;em branco;1;Sof� de jacarand�, estylo D. Jo�o V, assento de damasco vermelho. Mede 2,m.50. ;;2,5 (?);;Casa Laubisch - Rio.;5:000$000;;Bom ;Feito em 1928;19/12/1932
 Geral ;Sala Dom Pedro II;7765;142;em branco;1;Poltrona, pertencente ao sof�. Mede 0,m.56 de assento. Antiga. ;em branco ;0,56 (?);;Leil�o Bastos Dias - Rio.;5:000$000;;Bom;em branco;19/12/1932
 Geral ;Sala Dom Pedro II;7765;143;em branco;1;Idem. Modernas.;em branco ;;;Casa Laubisch - Rio.;1:500$000;;Bom;em branco;19/12/1932
 Geral ;Sala Dom Pedro II;7765;144;em branco;1;Poltrona de jacarand� com assento e encosto de damasco vermelho. Estylo D. Jo�o V. Antiga ;;;;Leil�o Bastos Dias - Rio;5:000$000;;Bom;em branco;19/12/1932
 Geral ;Sala Dom Pedro II;7765;145;em branco;1;Idem. Modernas.;em branco ;;;Casa Laubisch - Rio.;1:500$000;;Bom;em branco;19/12/1932
 Geral ;Sala Dom Pedro II;7765;146 - 147;em branco;2;Almofadas de damasco vermelho. Mede 0,m.55 x 0,m.55;0,55;0,55;;Casa Laubisch - Rio.;50$000 ;100$000;Bom;em branco;19/12/1932
 Geral ;Sala Dom Pedro II;7765;148 - 149;em branco;2;Cadeiras de jacarand�, com assento de damasco. Estylo D. Jo�o V. Mede de assento 0,m.56.;;0,56 (?);;Leil�o Bastos Dias - Rio;80$000 ;160$000;Bom ;em branco;19/12/1932
 Geral ;Sala Dom Pedro II;7765;150;em branco;1;Cadeira de jacarand�, com assento de damasco, linho e seda. Estylo D. Jo�o V. Mede 0,m.50. Antiga.;;0,5 (?);;Idem.;600$000;;Bom;em branco;19/12/1932
 Geral ;Sala Dom Pedro II;7765;151;00061;1;Contador Espanhol, de madeira, com 12 gavetas revestidas de tartaruga e espelhos de bronze dourado,e 12 chaves, Estylo s�culo XVII. Mede 1,m.26 x 0,m.64 x 0,m.30;1,26;0,64;0,3;Paris ;4:000$000;;Bom;em branco;19/12/1932
 Geral ;Sala Dom Pedro II;7765;152;00061;1;Mesa com 4 p�s torneados e 1 gaveta . Temp moderno. Estylo s�culo XVII. Mede 1,m.15 x o,m.60;1,15;0,6;0,m.60;Fran�a ;1:000$000;;Regular;Restaurada;19/12/1932
 Geral ;Sala Dom Pedro II;7765;153;00006;1;Mesa de encostar de jacarand� com 1 gaveta. Estylo D. Jo�o V. Mede 0,m.75 x 0,m.40 x 0,m.80;0,75;0,4;0,8;;700$000;;Bom;em branco;19/12/1932
 Geral ;Sala Dom Pedro II;7765;154;00033;1;Jardineira de marmore grenat e bronze dourado. Estylo Luiz XIV, Mede 0,m.50 de altura ;0,5;;em branco ;Fran�a;2:000$000;;Bom;em branco;19/12/1932
 Geral ;Sala Dom Pedro II;7766;155;00123;1;Retrato de D. Jo�o VI. Busto. Pintura a oleo, entiga, sobre tela. Moldura dourada. Mede 1,m.27. x 0,m.92.;1,27;0,92;em branco ;Rio de Janeiro.;3:000$00;;Bom;em branco;19/12/1932
 Geral ;Sala Dom Pedro II;7766;156;00125;1;Retrato de D. Jo�o VI. Pintura a oleo, sobre tela. 1908. Moldura a madeira dourada. Mede 0,m.90 x 0,m.6. Copia. Naroa A. R. (Rodolpho Amoedo);0,9;0,6;em branco ;Rio de Janeiro.;600$000;;Bom;em branco;19/12/1932
 Geral ;Sala Dom Pedro II;7766;157;00065;1;Retrato de D. Pedro I. Idem.;em branco ;em branco ;em branco;em branco ;600$000;;Bom;em branco;19/12/1932
 Geral ;Sala Dom Pedro II;7766;158;00134;1;Retrato D. Pedro II. Idem.;em branco ;em branco ;em branco ;em branco ;600$000;;Bom;em branco ;19/12/1932
 Geral ;Sala Dom Pedro II;7766;159;00113;1;"Marinha, pastel , ""Cascaes"". 1906. Moldura de madeira dourada. Mede 1,m.30 x 2,m.00. Pintado por Dom Carlos, Rei de Portugal ";1,3;2;em branco ;em branco ;15:000$000;;Bom;Feito e oferecido por D. Carlos I ao Bar�o do Rio Branco;19/12/1932
 Geral ;Corredor da Sala Dom Pedro II;7767;160;em branco;1;Passadeira persa. Mede 5,m.70. x 1m.;5,7;1;em branco ;Beraheiner - Munich;3:000$000;;Bom;em branco;19/12/1932
 Geral ;Corredor da Sala Dom Pedro II;7767;161-166;em branco;6;Cadeiras de jacarand�, D. Jo�o V, com assento e encosto de damasco, linho e seda. Antiga. Assento mede 0,m.50.;;0,5 (?);em branco ;Provenientes do convente de Macac�.;1:500$000 ;9:000$000;Bom;em branco;19/12/1932
 Geral ;Corredor da Sala Dom Pedro II;7767;167;em branco;1;Plafonnier de metal e crystal.;;;em branco ;em branco ;300$000;;Bom;em branco;19/12/1932
 Geral ;Corredor da Sala Dom Pedro II;7767;168;00120;1;Aquarella de Bernardelli, representando um concerto no tempo de D. Jo�o I. Mede 0,m.95. x 0,m.70. com moldura de madeira dourada.;0,95;0,7;em branco ;Rio ;1:000$000;;Bom;em branco;19/12/1932
 Geral ;Corredor da Sala Dom Pedro II;7767;169;00067;1;"Sanguinea ""Juventude"", de Marensi. Moldura de madeira dourada. Mede 0,m.60. x 0,m.50.";;;em branco;Italia.;1:000$000;;Bom;em branco;19/12/1932
 Geral ;Corredor da Sala Dom Pedro II;7767;170;00007;1;Mesa de encostar de jacarand�, estylo D. Jo�o V, com 2 gavetas. Mede 1,m.12 x 0,m.55 x 0,m.60;1,12;0,55;0,6;Galeria Jorge - Rio ;1:000$000;;Bom;em branco;19/12/1932
 Geral ;Sala Amarella ;7768;171;em branco ;1;Tapete persa, fundo creme e rosa. Mede 5,m.10 x 4,m.10.;5,1;4,1;em branco;;10:000$000;;Bom ;em branco;19/12/1932
 Geral ;Sala Amarella ;7768;172 - 176;00037;6;V�os de cortinas de damasco amarello com 2 pernas, 2 bra�adeiras de seda e de 4 borlas de seda.;em branco ;em branco ;em branco; Casa Hartmann - Paris;5:000$000;30:000$000;Bom;em branco;19/12/1932
 Geral ;Sala Amarella ;7768;177 - 182;00037;6;Sanefas de cedro dourado, estylo Luiz XV.;em branco ;em branco ;em branco ;em branco ;500$000;3:000$000;Bom ;em branco;19/12/1932
 Geral ;Sala Amarella ;7768;183 - 194;00049;12;Bra�adeiras de bronze dourada, estylo Luiz XVI.;em branco ;em branco ;em branco;Paris ;200$000;2:400$000;Bom ;em branco;19/12/1932
 Geral ;Sala Amarella ;7768;195;00199;1;Secretaria de mogno, com enfeites de bronze dourado e 5 gavetas, estylo Imperio. Mede 1,m.90. x 0,m.80. x 0,m.74;1,9;0,8;0,74;Pa�o Imperial de S�o Cristov�o ;5:000$000;5:000$000;Bom ;em branco;19/12/1932
 Geral ;Sala Amarella;7768;196;em branco;1;Poltrona de mogno e bronze dourado, assento de couro verde taxeado. Estylo Imperio. Mede 0,m.60.;;0,6 (?);em branco;Pa�o Imperial demogno S�o Cristov�o;1:500$000;1:500$000;Bom ;em branco;19/12/1932
 Geral ;Sala Amarella;7768;197 - 202;em branco;6;Cadeiras de mogno e bronze dourado, assento de couro verde taxeado. Estylo Imperio. Mede 0,m.40.;;0,4 (?);em branco;Pa�o Imperial de S�o Cristov�o;1:000$000;6:000$000;Bom ;em branco;19/12/1932
 Geral ;Sala Amarella;7768;203;00010;1;Consolo de mogno e broze dourado, tampo de marmore cinzento e espelho na parte inferior. Estylo Directorio. Mede 1,m.30;1,3;em branco;em branco;Pa�o Imperial de S�o Cristov�o;2:000$000;2:000$000;Bom ;em branco;19/12/1932
 Geral ;Sala Amarella;7768;204 - 205;00014;2;Consolos de cedro dourado com armas imperiais e te,po de marmore branco. Estylo Luiz XVI. M�de 1,m.04 x 0,m.44 x 0,m.95.;1,04;0,44;0,95;Pa�o Imperial de S�o Cristov�o;1:300$000;3:000$000;Bom ;em branco;19/12/1932
 Geral ;Sala Amarella;7768;206;00147;1;Mesa de cabeceira redonda de mogno, com tampo de marmore grenat e armas Imperiaes de bronze dourado. Estylo Imperio. M�de 0,m.77 de altura e 0,52 de diametro.;0,77;0,52;em branco;Pa�o Imperial de S�o Cristov�o ;1:000$000;1:000$000;Bom ;em branco;19/12/1932
 Geral ;Sala Amarella;7768;207;00138;1;"Relogio de marmore cinzento e preto com figura de bronze ""Esphynge"". Altura de 0,m.43.";0,43;em branco ;em branco;Paris ;1:000$000;1:000$000;Bom ;em branco;19/12/1932
 Geral ;Sala Amarella;7768;208 - 209;00138;2;Pyramides de marmore cinzento e preto. Pertenceu ao n� 207. Com 0,m.52 de altura.;0,52;em branco ;em branco;Paris ;500$000;1:000$000;Bom ;em branco;19/12/1932
 Geral ;Sala Amarella;7768;210;00142;1;"Relogio de bronze, estylo Luiz XV, de meunier, com figuras de bronze ""Elephante e Amor"". M�de 0,m.47 de altura.";0,47;em branco ;em branco;Paris ;1:000$000;1:000$000;Bom ;em branco;19/12/1932
 Geral ;Sala Amarella;7768;211 - 212;00142;2;"Candelabros de bronze ""Trit�es"", com 2 velas, cada um. Pertenceu ao n�210  ";em branco ;em branco ;em branco;Paris ;500$000;1:000$000;Bom ;em branco;19/12/1932
 Geral ;Sala Amarella ;7769;213 - 214;00028;2;Tanagras, authenticas.;em branco ;em branco ;em branco;em branco ;50:000$000;100:00$000;Bom ;Pertenceram ao Bar�o do Rio Branco ;19/12/1932
 Geral ;Sala Amarella;7769;215;000158;1;Lustre de bronze dourado com corrente e 12 velas. Estylo Luiz XVI.;em branco ;em branco ;em branco;Fran�a;6:000$000;;Bom ;Pertenceram ao Bar�o do Rio Branco ;19/12/1932
 Geral ;Sala Amarella ;7769;216;00112;1;"Pintura a ol�o sobre cobre de Flatser, s�culo XVIII, assumpto mythologico ""Casamento de Aphrodite e Hephaistes [Hephaestus(?)]"",em moldura dourada 0,m.64 x 0,m.67.";0,64;0,67;em branco ;em branco ;12:000$000;;Bom;Pertenceram ao Bar�o do Rio Branco ;19/12/1932
 Geral ;Sala Amarella;7769;217;em branco ;1;"Pintura a ol�o ""Reconhecimento da Independ�ncia do Brasil"" em moldura de madeira dourada e placa de metal. Mede 1,m. x 0,m.75";1;0,75;em branco ;Rio de Janeiro ;1:500$000;2:100$000;Bom;Em branco;19/12/1932
 Geral ;Sala Amarella;7769;218;00117;1;"Pintura a ol�o ""Refei��o campestre"" por L.J. Wateau, s�culo XVIII, com 0,m.66 x 0,m.53";0,66;0,53;em branco;Fran�a ;12:000$000;;Bom ;Em branco;19/12/1932
 Geral ;Sala Amarella ;7769;219 - 225;00122, 00126, 00127, 00128, 00129, 00150, 00131;7;"Retratos a ol�o sobre madeira ""Regentes do Imperio""  marca A.R., por Rodolpho Amoedo, em moldura de madeira dourada, com 0,m.44 x 0,m.53.";0,44;0,53;em branco ;em branco ;300$000;2:100$000;Bom;Em branco;19/12/1932
 Geral ;Sala Amarella ;7769;226;em branco ;1;Mesa typo D.;em branco ;em branco ;em branco;Casa Laubisch - Rio.;1:267$000;;Bom;Servi�o;19/12/1932
 Geral ;Sala Amarella ;7769;227;em branco;1;"Machina de escrever ""Underwood"" n: R.E. 60";em branco ;em branco ;em branco;em branco ;2:000$000;;Bom;Servi�o;19/12/1932
 Geral ;Sala Amarella ;7769;228;em branco;1;Cesta de metal para papel, typo Roneo.;em branco ;em branco ;em branco;em branco ;50$000;;Bom;Servi�o;19/12/1932
 Geral ;Sala Amarella ;7769;229;em branco ;1;"Redoma de vidro guarnecida de metal branco pertencente �s ""Tanagras"", com p� de velludo, medindo 0,m.34 de altura. ";0,34;em branco ;em branco;em branco ;100$000;;Bom ;Servi�o;19/12/1932
 Geral ;Sala Cotegipe;7770;230;em branco ;1;Tapete persa, fundo azul escuro, medindo 5,m60 x 3m,60.;5,6;3,6;em branco;Kirman;15:000$000;15:000$000;Bom;Em branco.;19/12/1932
 Geral ;Sala Cotegipe;7770;231 - 232;00025 e 00024;2;"Panneaux tape�aria ""verdure"" com passaros e cercadura de flores, medindo 3m,12 x 1m,28";3,12;1,28;em branco;Fran�a;7:000$000;14:000$000;Bom;Pertenceram ao Bar�o do Rio Branco. ;19/12/1932
 Geral ;Sala Cotegipe;7770;233 - 234;0025 e 0026;2;"Panneaux tape�aria ""verdure"" com passaros e cercadura de flores, medindo 2m,63 x 0m,94";2,63;0,94;em branco;Fran�a;7:000$000;14:000$000;Bom;Em branco;19/12/1932
 Geral  ;Sala Cotegipe;7770;235;Em Branco;1;Sof�, tape�aria aubusson, fundo creme com flores, estylo Luiz VI. Madeiramento de imbuia dourada. Mede 1m,50 ;em branco ;em branco;em branco;Fran�a;5:000$000;5:000$000;Usado;Refeito em 1927, na casa Hartmann - Paris. Pertence � sala Amarella. De Bar�o do Rio Branco. ;19/12/1932
 Geral  ;Sala Cotegipe;7770;236;em branco;1;Sof�, tape�aria Aubusson, fundo creme com flores estylo Luiz VI. Madeiramento de imbuia dourada. Assento mede 1m,30.;em branco ;1,3 (?);em branco ;Fran�a ;5:000$000;5:000$000;Usado;Madeiramente refeito pela casa Hartmann - Paris, em 1927. Do Bar�o do Rio Branco.;19/12/1932
 Geral  ;Sala Cotegipe;7770;237 - 240;em branco;4;Poltronas pertencentes ao n� 235, medindo 0m,65;em branco ;em branco ;em branco ;Fran�a ;2:500$000;10:000$000;Usado;Madeiramente refeito pela casa Hartmann - Paris, em 1927. Do Bar�o do Rio Branco.;19/12/1932
 Geral  ;Sala Cotegipe;7770;241 - 244;em branco;4;Poltronas pertencentes ao n� 236, medindo 0m,66;em branco ;em branco ;em branco ;Fran�a ;2:500$000;10:000$000;Usado;Madeiramente refeito pela casa Hartmann - Paris, em 1927. Do Bar�o do Rio Branco.;19/12/1932
 Geral  ;Sala Cotegipe;7770;245;em branco;1;Commoda de Jacarand� com frente e lados ondulados, com 4 gavetas, 3 puxadores e 4 espelhos de prata. Estylo D. Joao V. Antiga. Mede 1m,30 x 0m,75 x 1m,x 36;1,3;0,75;1,36;Leil�o Bastos Dias - Rio;10:000$000;10:000$000;Bom;Pertence � sala Amarella.;19/12/1932
 Geral  ;Sala Cotegipe;7770;246;em branco;1;Secretaria de Jaracand� com embutidos de p�o rosa, com tr�s gavet�es e 2 gavetas, 8 puxadores de bronze dourado, tampo m�vel, 12 gavetinhas internas e 1 portinha. Estylo D. Jo�o. Antiga. Mede 1m, 25 x 0m, 75 x 1m, 25. ;1,25;0,75;1,25;Leil�o Bastos Dias - Rio;5:000$000;;Bom;Em branco ;19/12/1932
 Geral ;Sala Cotegipe;7770;247;em branco;1;Biombo, com 3 folhas, de damasco verde, taxeado, medindo 2 metros x 1m,80.;2;1, 80;em branco;em branco ;800$000;;Bom;em branco;19/12/1932
 Geral ;Sala Cotegipe ;7770;248;00137;1;Relogio de mesa, de madeira pintada, e mostrador idem, seculo XVII, antigo, com 0m,45 de altura;0,45;em branco;em branco;Antiquario Berlein - Rio ;1:200$000;;Bom;Restaurado;19/12/1932
 Geral ;Sala Cotegipe;7770;249;00164;1;"Busto de bronze ""Bar�o de Cotegipe"", por Charpentier - 1906. Encomendado pelo Bar�o do Rio Branco. Mede 0m,75.";0,75;em branco;em branco;Funda��o Rudier - Fran�a;2:000$000;;Bom;em branco;19/12/1932
 Geral  ;Sala Cotegipe ;7770;250;em branco;1;"Busto em bronze ""Visconde do Rio Branco, por Charpentier. Mede 0m,35.";0,35;em branco;em branco;Fran�a;500$000;;Bom;em branco;19/12/1932
 Geral ;Sala Cotegipe;7770;251;em branco;1;"Bsuto em bronze ""Bar�o do Rio Branco"" por Charpentier - 1898. Mede 0m,35.";0m,35;em branco;em branco;Fran�a;500$00;;Bom;em branco;19/12/1932
 Geral ;Sala Cotegipe ;7770;252 - 253;em branco;2;"Arandelas de bronze preto e dourado ""Fauno"" e ""Bachante"". Estylo Luiz XVI. Com 4 luzes. Mede 0m,72.";0,72;em branco;em branco;Leil�o Bastos Dias - Rio;1:000$000;2:000$000;Bom ;em branco;19/12/1932
 Geral  ;Sala Contegipe;7771;254 - 255;em branco;2;Arandelas, copiadas das anteriores, mede 0m,72.;0,72;em branco;em branco;Casa Laubisch - Rio.;750$000;1:500$000;Bom;em branco;19/12/1932
 Geral  ;Sala Cotegipe;7771;256;em branco;1;Cesto para papel, de metal. ;em branco ;em branco;em branco;Paul Christoph - Rio;50$000;;Bom;Servi�o;19/12/1932
 Geral  ;Sala Cotegipe;7771;1016;em branco;1;Cadeira de bra�os, de jacarand� D. Jo�o V, com assento de damasco de linho e seda, rosa.;em branco ;em branco;em branco;Leil�o Bastos Dias - Rio ;800$000;;Bom;em branco;19/12/1932
 Geral  ;Gabinete do Ministro ;7772;257;em branco;1;Tapete persa, fundo vermelho, com desenhos azues e creme Pushak. Mede 8,m.25 x 6,m.95;8,25;6,95;em branco;Bernheimer - Munich ;50:000$000;;Bom;Pertenceu ao Bar�o Fugger.;19/12/1932
 Geral  ;Gabinete do Ministro ;7772;258 - 265;00040;8;V�os de cortina, de damasco verde, com 2 pernas e 2 bra�adeiras. ;em branco ;em branco ;em branco ;Casa Hatmann - Paris ;3:000$000;24:000$000;Bom;em branco;19/12/1932
 Geral  ;Gabinete do Ministro ;7772;266 - 281;em branco;16;Bra�adeiras de bronze dourado. ;em branco ;em branco;em branco;em branco ;200:000;3:200$000;Bom ;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7772;282 - 289;00040;8;Sanefas de cedro dourado, estylo Luiz XVI. Desenho do architeto Ciro. ;em branco ;em branco;em branco;Casa Bettenfeld - Rio. ;1:000$000;8:000$000;Bom ;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7772;290;00052;1;Commoda de jacarand� com 3 gavet�es, 6 puxadores de bronze dourado, 3 chaves. Estylo D. Jo�o V, antiga. Mede 1m,41 x 0m,67 x 1m,08.;1,41;0,67;1,08;Antiquario Esslinger. ;5:000$000;;Bom ;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7772;291;00197;1;Mesa de jacarand�, com 6 gavet�es, seculo XVIII. Antiga. Mede 2m,40 x 1m,08x0,82m.;2,4;1,08;0,82;Fazenda Real da Sta. Cruz ;4:500$000;;Bom ;em branco;19/12/1932
 Geral ;Gabinete do Ministro ;7772;292;00015;1;Mesa de jacarand�, p�s de bolacha, seculo XVII, antiga. Mede 1m,10 x 0m,78 x 0m,85.;1,1;0,78;0,85;Galeria Jorge - Rio ;4:000$000;;Bom ;em branco;19/12/1932
